concept_index,unique_id,concept,category_bottom_up,category_wordnet,category_manual,Percent_known,Concreteness (M),COCA word freq,SUBTLEX freq,categories_53,image-label_nameability_mean,image-label_consistency_mean,image-label_ratings-per-image_mean,property_manmade_mean,property_precious_mean,property_lives_mean,property_heavy_mean,property_natural_mean,property_moves_mean,property_grasp_mean,property_hold_mean,property_be-moved_mean,property_pleasant_mean,property_arousal_mean,property_arousal_work-time_mean
651,furnace,furnace,,,,1.0,4.69,1766.0,138.0,,0.294189313,0.307615239,17.33333333,6.9189,3.973,1.2703,6.5946,1.6757,1.4595,2.3243,1.5405,1.4324,4.1081,4.551020408,6233.142857
652,fuse,fuse,,,,1.0,4.55,1161.0,248.0,,0.473578145,0.507375874,18.5,6.7143,3.7143,1.3143,1.5429,1.7143,1.5714,6.1714,6.4857,6.3143,4.3143,4.319148936,6103.574468
653,gallows,gallows,,,,0.96,4.35,316.0,91.0,,0.298770568,0.563869181,18.08333333,6.7692,1.9487,1.2308,6.2308,1.9744,2.0769,3.5897,2.0256,2.0769,1.5128,5.0,5987.0
654,game,game,,,,1.0,4.5,146311.0,11926.0,game,0.715163829,0.719549794,17.5,6.5946,3.7838,1.5135,2.2703,2.2162,2.7027,5.5405,5.9459,5.973,5.9189,4.104166667,5361.291667
655,garbage,garbage,,container,,1.0,4.69,6933.0,1331.0,,0.376378856,0.453328173,18.08333333,6.4615,1.2821,1.4872,4.7436,2.4359,2.1538,4.5641,4.7692,4.5385,1.4872,5.346938776,22719.30612
656,garbage_truck,garbage truck,vehicle,"container, vehicle",vehicle,1.0,4.92,,0.0,vehicle,0.571499255,0.618558078,17.93333333,6.4286,2.8,1.1714,6.8571,1.4857,6.2,2.7714,1.7429,4.2571,2.7714,4.019230769,6120.403846
657,gargoyle,gargoyle,,decoration,,0.9,4.85,393.0,27.0,,0.685956312,0.702124183,18.64705882,6.4872,3.6923,1.4359,6.5128,2.0256,1.5385,3.1538,1.9231,1.4359,3.5641,4.382978723,6909.425531999999
658,garlic,garlic,"food, vegetable",food,"food, vegetable",1.0,4.89,11449.0,306.0,food|vegetable,0.912571666,0.912571666,18.33333333,1.2,4.0286,5.2571,1.3714,6.8286,2.6,6.3714,6.5429,6.4571,5.2,4.4,5891.911111
659,garter,garter,clothing accessory,,clothing,1.0,4.78,356.0,67.0,clothing|women's clothing,0.807576539,0.807576539,17.33333333,6.8421,4.6053,1.3158,1.5,1.7632,2.2105,6.5,6.6316,6.6053,5.3684,3.8,7395.0
660,gas_mask,gas mask,,,,1.0,4.97,,0.0,safety equipment,0.806839454,0.738685716,18.08333333,6.641,3.7949,1.2051,2.5641,1.6667,2.0769,6.0769,6.1026,6.1538,2.9487,4.279069767,6283.697674
661,gasket,gasket,part of car,,part of car,0.96,4.44,224.0,34.0,fastener|part of car,0.260003102,0.340803756,17.91666667,6.5263,3.3421,1.1579,2.9474,1.5263,2.5,5.5789,5.6842,5.5263,4.0789,4.095238095,4845.666667
662,gate,gate,,,,1.0,4.96,17999.0,1634.0,,0.897002924,0.901632554,18.66666667,6.8108,3.3243,1.2162,6.2973,1.6486,4.4324,5.0,3.4865,3.7297,4.3784,4.212765957,4334.425532
663,gauge,gauge,,,,1.0,4.0,3532.0,112.0,scientific equipment,0.568263746,0.577523005,18.0,6.7895,3.2895,1.2632,2.6316,1.7105,4.2895,5.6316,5.6579,5.5526,4.1579,3.75,10206.54167
664,gauze,gauze,medical equipment,,medical equipment,0.97,4.62,732.0,73.0,medical equipment,0.675202815,0.680411148,17.66666667,6.6486,3.7838,1.2973,1.2703,2.7297,2.2973,6.4324,6.6486,6.5135,4.3514,3.739130435,4780.195652
665,gavel,gavel,,tool,tool,0.93,4.88,389.0,39.0,tool,0.87600394,0.87600394,18.25,6.7297,3.3243,1.3784,2.8378,2.2703,3.027,6.4865,6.5676,6.5676,3.8649,4.081632653,5282.714286
666,gazelle,gazelle,animal,animal,animal,0.97,4.72,260.0,62.0,animal|mammal,0.316008158,0.453179517,18.28571429,1.1892,5.1351,6.973,5.4595,6.7838,6.8378,2.4865,1.973,2.8378,5.3243,3.882352941,5154.843137
667,gear,gear,,,,1.0,4.28,12872.0,816.0,hardware,0.720349587,0.720349587,17.58333333,6.7692,3.2051,1.2821,4.4872,1.5128,5.7692,4.7949,4.8974,5.3846,4.2821,4.520833333,10668.625
668,gearshift,gearshift,part of car,,part of car,0.97,4.64,83.0,11.0,part of car,0.104447598,0.314760349,18.25,6.9744,3.2308,1.1026,2.6923,1.359,6.0513,6.5897,5.3333,6.0513,4.3846,3.87755102,5316.795918
669,gel,gel,,,,1.0,4.72,2001.0,83.0,,0.347060862,0.384274432,16.85714286,6.3243,2.6757,1.5135,1.8378,2.6486,3.2162,3.8378,4.7027,5.2973,4.2973,3.745098039,10797.66667
670,gem,gem,,,,1.0,4.88,2347.0,126.0,,0.196348971,0.3750473,18.0,3.2353,6.4118,1.6471,2.6765,5.8235,1.7353,5.9412,6.4118,6.3529,6.1471,3.734693878,6034.795918
671,generator,generator,,,electronic device,1.0,4.23,3843.0,290.0,electronic device,0.882351713,0.882351713,18.0,6.7105,4.3684,1.4737,6.5526,1.4211,4.1842,4.3684,2.4737,3.8158,4.2895,4.395348837,4714.302326
672,gift,gift,,,,1.0,4.56,27050.0,3290.0,,0.57060006,0.627972351,17.58333333,5.8947,5.8684,2.1053,3.5789,2.9474,2.3947,5.5263,5.6579,5.6842,6.5789,4.043478261000001,5948.782609000001
673,ginger,ginger,,food,food,1.0,4.92,2971.0,327.0,condiment|food,0.829624971,0.829624971,17.58333333,1.5641,3.9231,5.0,1.8462,6.8205,1.7949,6.3333,6.5385,6.2564,5.2821,4.088888889,5055.822222
674,gingerbread_man,gingerbread man,,,food,1.0,4.9,,0.0,food,0.37641003,0.43889928,17.66666667,6.6111,4.1111,1.25,1.4167,2.6667,1.3889,6.4444,6.6389,6.6944,5.8056,3.673469388,5093.55102
675,giraffe,giraffe,animal,animal,animal,0.97,4.73,716.0,76.0,animal|mammal,0.983845925,0.983845925,17.79166667,1.1622,5.8108,6.8919,6.6216,6.8108,6.8378,2.6486,1.5405,2.2432,5.8919,4.25,5576.2727270000005
676,girl,girl,,,,1.0,4.85,110409.0,28413.0,,0.585456193,0.624420497,17.46153846,2.8205,6.2308,6.9487,4.4103,6.6923,6.8462,4.4359,4.6154,4.5128,5.641,3.479166667,8132.541667
677,glass,glass,,container,container,1.0,4.82,49686.0,3096.0,container,0.90036048,0.90036048,17.58333333,6.6842,3.7105,1.1579,2.3158,2.8421,1.7895,6.5,6.7632,6.7895,5.1842,4.219512195,13063.43902
678,glasses,glasses,,,clothing accessory,1.0,4.9,112.0,1689.0,clothing accessory,0.721488952,0.721488952,18.0,6.6757,5.027,1.2432,1.3784,2.0541,2.0811,6.5405,6.7297,6.7568,5.3243,3.88,7168.68
679,globe,globe,,,home decor,1.0,4.59,5166.0,266.0,home decor,0.972627852,0.972627852,17.91666667,6.8056,3.8611,1.2222,3.0278,1.5278,4.9722,4.9722,5.2222,6.1389,4.9444,3.862745098,6082.627450999999
680,glove,glove,clothing,clothing,"clothing, clothing accessory",1.0,4.97,10218.0,515.0,clothing|clothing accessory|outerwear|protective clothing,0.982595889,0.982595889,18.0,6.7436,2.7692,1.3077,1.641,1.8974,2.2564,6.6667,6.8205,6.7949,4.8462,3.846153846,4652.019231
681,glue,glue,,,office supply,1.0,4.65,2702.0,300.0,arts and crafts supply|office supply|school supply,0.915815632,0.915815632,17.91666667,6.6389,2.3889,1.1944,1.7222,2.1944,2.2222,5.3333,5.6944,5.6389,4.2778,4.192307692,4381.403846
682,go-kart,go-kart,,"container, vehicle",vehicle,0.85,4.83,,0.0,vehicle,0.400378755,0.360000287,17.5,6.6316,3.8684,1.2632,6.4474,1.5526,6.6316,3.9211,2.0263,5.3684,5.4474,4.0425531910000005,5612.617021
683,goalpost,goalpost,sports equipment,,,0.93,4.96,110.0,13.0,,0.239690006,0.341978249,17.61538462,6.95,2.575,1.025,6.55,1.25,1.25,3.8,1.925,1.5,4.175,4.192307692,6662.2115380000005
684,goat,goat,animal,animal,"animal, food",1.0,5.0,5459.0,537.0,animal|farm animal|food|mammal,0.935903996,0.935903996,17.75,1.3784,4.973,6.7297,5.8378,6.4865,6.6486,3.5946,2.7838,3.5135,4.7568,4.048780488,4275.780488
685,goblet,goblet,,container,container,1.0,4.65,593.0,19.0,container,0.37112481,0.415849366,18.07142857,6.575,5.3,1.3,3.7,1.95,2.375,6.225,6.375,6.4,5.175,3.777777778,8298.311110999999
686,goggles,goggles,,,sports equipment,1.0,4.93,1262.0,107.0,sports equipment,0.913413577,0.913413577,17.76923077,6.9429,2.7143,1.0857,1.3429,1.4571,1.8857,6.5429,6.7714,6.8,4.5714,3.979591837,5724.102040999999
687,gold,gold,,,,1.0,4.81,30733.0,4026.0,,0.888290477,0.888290477,17.38888889,1.475,6.5,1.5,5.225,6.65,1.925,5.65,5.75,5.425,6.2,4.254901961,6041.235294
688,goldfish,goldfish,,animal,animal,1.0,4.79,584.0,155.0,animal,0.643572626,0.648202256,18.16666667,1.3684,4.7368,6.9474,1.3421,6.3947,6.9474,3.4211,3.5789,5.1316,5.8158,3.3529411760000003,14372.92157
